State,South,Region,Division,UER23,PR23,PNH,PH,SCR,PC
12,0,3,8,3.4,6.9,5.329453844,21.25143252,33.7307498,39.68836384
11,1,2,6,3.6,18.8,12.61720192,35.82871908,34.35215947,17.20191953
9,1,2,4,4.2,31.6,23.77775221,39.42252387,25.80236972,10.99735419
27,0,1,2,2.6,9.9,10.41277391,40.6319008,30.15118057,18.80414473
21,1,2,5,4.0,16.2,16.56477251,43.1752365,26.55254521,13.70744578
3,0,1,3,1.9,8.7,8.285565399,34.18447108,34.60135487,22.92860865
39,1,2,4,3.3,10.1,6.303682496,30.20288281,30.81992299,32.6735117
33,0,1,2,3.4,14.4,7.183170857,32.32426886,41.79066188,18.70189841
27,0,1,2,3.0,8.9,6.963821234,42.87459604,27.04737132,23.1142114
6,1,2,5,3.3,10.0,5.699711111,28.7484059,32.30617078,33.2457122
40,0,1,3,2.4,18.3,10.96665968,37.53407423,27.23841476,24.26085133
27,0,1,2,3.1,11.8,8.186566819,41.97753432,28.23464152,21.60125734
27,0,1,2,3.1,13.0,9.670854646,27.99581988,31.1984851,31.13484038
27,0,1,2,3.4,10.6,13.88127559,38.10660046,27.56263502,20.44948892
0,0,1,3,3.4,13.0,6.930693069,24.95049505,41.18811881,26.93069307
38,0,1,3,2.4,34.9,13.05609284,36.60541586,39.16827853,11.17021277
4,1,2,6,3.2,27.3,25.60928433,36.13152805,27.21470019,11.04448743
37,0,1,3,2.8,9.6,7.170119956,31.78844057,37.31597601,23.72546347
41,1,2,4,3.9,20.1,15.61127136,39.87131129,30.77435101,13.74306634
37,0,1,3,2.8,9.5,4.812061132,36.03882693,37.05080545,22.09830648
18,0,3,7,2.3,10.7,6.008529146,20.13245594,33.43453457,40.42448034
10,0,1,2,3.5,8.3,4.330896668,30.8305477,32.8545715,31.98398413
9,1,2,4,3.1,26.2,14.74782609,43.71014493,30.14492754,11.39710145
9,1,2,4,3.3,17.3,17.8753335,40.40747029,27.24784311,14.46935311
33,0,1,2,3.9,11.0,4.19710101,22.78128903,26.14767437,46.87393559
42,0,0,0,3.0,13.0,7.534903958,36.3615423,32.6631944,23.44035934
30,0,3,7,3.6,9.3,5.634559271,26.57277071,39.03309071,28.75957931
32,0,3,7,5.4,12.9,13.18611005,27.6138789,31.89142926,27.30858179
29,0,1,3,2.2,10.1,7.647231175,33.19660123,36.82976853,22.32639906
0,0,1,3,1.8,11.8,6.953113659,33.66236028,32.37044564,27.01408042
15,0,1,3,3.3,13.6,6.857320485,32.89710911,31.14392291,29.1016475
10,0,1,2,2.6,12.1,3.524707445,24.70744545,35.68526751,36.08257959
24,1,2,6,4.0,20.3,17.1990172,48.04162451,24.03526521,10.72409308
6,1,2,5,5.1,16.0,15.97321331,44.58228126,29.13601932,10.30848611
33,0,1,2,4.2,13.6,10.69050123,32.0977918,35.97090782,21.24079916
33,0,1,2,2.4,13.7,20.3891709,40.29187817,24.23857868,15.08037225
